id,surname,name,tel,description
0,Шагал,Денис,3465635,
1,Иванов,Петр,3465674684,друг
2,Петров,Максим,987876675,знакомый
3,Иванов,Сергей,546357367,кто-то
4,Сидоров,Иван,54656767,однажды встретил на улице
5,Курицын,Эдуард,465356357,куевкп
6,Ренжин,Василий,3465667,выапвп
7,Кочегар,Михаил,5476758,ывнен
8,Бумагин,Василий,346547,фуепкеген
9,Белов,Анатолий,34657,вафыпао
10,Сидор,Сидор,777755,чвавы
11,Пыжиков,Вадим,5555555,чижик пыжик
12,Валетов,Андрей,+375297002255,прикольный чужщй номер
13,царь,воан,456798,прикол
14,Путин,Владимир,777777777,президент
15,Конандойл,Артур,5689,писатель
16,Петров,Петр,516564,привет
17,Корлев,Кирил,+654,нет
18,Лесик,Анатолий,+375297004512,прикольный ногмер
